device,value,footprint,loadstatus,provided,mfg,mfg_part_number,vendor,vendor_part_number,quantity,refdes
"ANTENNA","APAE1575R1840AADB7-T","GP.18.4","noload","no","unknown","APAE1575R1840AADB7-T","mouser","815-1575R1840AADB7T",1,"A1"
"BEEPER","TDK_PS12","TDK_PS12","noload","no","unknown","PS1240P02BT","digikey","445-2525-1-ND",1,"U8"
"CAPACITOR","0.1uF","0402","smt","no","unknown","CL05A104KA5NNNC","digikey","1276-1043-1-ND ",5,"C10 C101 C36 C602 C610"
"CAPACITOR","0.22uF","0402","smt","no","unknown","LMK105BJ224KV-F","digikey","587-1228-1-ND",1,"C42"
"CAPACITOR","100pF","0402","smt","no","unknown","GCM1555C1H101JA16D","digikey","490-10669-1-ND",1,"C172"
"CAPACITOR","10nF","0402","smt","no","unknown","250R07W103KV4T","digikey","709-1132-1-ND",3,"C171 C211 C38"
"CAPACITOR","10pF","0402","smt","no","unknown","0402N100J500CT","digikey","1292-1636-1-ND",2,"C30 C31"
"CAPACITOR","1.8nF","0402","smt","no","unknown","04025C182KAT2A","digikey","478-1104-1-ND",1,"C231"
"CAPACITOR","1uF","0402","smt","no","unknown","EMK105BJ105KV-F","digikey","587-2477-1-ND",4,"C102 C103 C37 C601"
"CAPACITOR","2.2pF","0402","smt","no","unknown","GJM1555C1H2R2BB01D","digikey","490-8092-1-ND",1,"C176"
"CAPACITOR","22pF","0402","smt","no","unknown","GRM1555C1H220FA01D","digikey","490-8589-1-ND",2,"C32 C33"
"CAPACITOR","39pF","0402","smt","no","unknown","CL05C390JB5NNNC","digikey","1276-1016-1-ND",1,"C174"
"CAPACITOR","47nF","0402","smt","no","unknown","CGA2B2X5R1C473K050BA","digikey","445-12164-1-ND",9,"C221 C251 C261 C271 C291 C43 C44 C45 C47"
"CAPACITOR","4.7uF","0402","smt","no","unknown","CL05A475KP5NRNC","digikey","1276-1480-1-ND",2,"C4 C5"
"CAPACITOR","47uF","1210","smt","no","unknown","C1210C476M4PACTU","digikey","399-5514-1-ND",1,"C39"
"CAPACITOR","5.1pF","0402","smt","no","unknown","CC0402DRNPO9BN5R1","digikey","311-3722-1-ND",3,"C181 C191 C210"
"CAPACITOR","56pF","0402","smt","no","unknown","C0402C560J5GACTU","digikey","399-1020-1-ND",1,"C173"
"CAPACITOR","6.2pF","0402","smt","no","unknown","GJM1555C1H6R2CB01D","digikey","490-3105-1-ND",1,"C175"
"CAPACITOR","tuning","0402","noload","","unknown","","","",1,"C177"
"CONNECTOR","Companion","0-338068-8","noload","no","unknown","338068-8","digikey","A99436CT-ND",1,"J9"
"CONNECTOR","Debug","0-215079-4","noload","no","unknown","215079-4","mouser","571-215079-4",1,"J6"
"CONNECTOR","LiPo","B2B-PH","noload","no","unknown","440054-2","digikey","A100034-ND",1,"B1"
"CONNECTOR","Pyro","282834-6","noload","no","unknown","20088","4ucon","20088",1,"J4"
"CONNECTOR","SMA","sma-edge","noload","no","unknown","73251-2120","mouser","538-73251-2120",1,"J8"
"CONNECTOR","USBmicroB","ZX62-B-5PA","smt","no","unknown","ZX62-B-5PA(33)","mouser","798-ZX62-B-5PA33",1,"J5"
"CRYSTAL","32mhz","NDK32","smt","no","unknown","NX3225SA-32.000MHZ-STD-CSR-1","digikey","644-1056-1-ND",1,"X1"
"CRYSTAL","8mhz","ABM3B","smt","no","unknown","ABM3B-8.000MHZ-10-1-U-T","digikey","535-9721-1-ND",1,"X2"
"CRYSTAL","SAW","saw","smt","no","unknown","B39162B9415K610","digikey","495-3910-1-ND",1,"S1"
"DIODE","DFLS130L","powerdi123","smt","no","unknown","DFLS130LQ-7","mouser","621-DFLS130LQ7",1,"D3"
"IC","CC1120","TI-QFN32","smt","no","unknown","CC1120RHBR","digikey","296-35667-1-ND",1,"U3"
"IC","LM293","8ufson2x2","smt","no","unknown","LM293QT","mouser","511-LM293QT",1,"U13"
"IC","MAX-7Q","UBLOX-MAX","smt","yes","unknown","MAX-7Q","u-blox","MAX-7Q",1,"U10"
"IC","MCP130T-300","SOT23","smt","no","unknown","MCP130T-300I/TT","digikey","MCP130T-300I/TTCT-ND",1,"U11"
"IC","MCP73831","SOT23-5","smt","yes","unknown","MCP73831T-2ACI/OT","mouser","579-MCP73831T-2ACIOT ",1,"U2"
"IC","MMA6555","AN3111","smt","yes","unknown","MMA6555KW","mouser","841-MMA6555KW",1,"U6"
"IC","MS5607","MS5607","smt","no","unknown","MS560702BA03-50","digikey","223-1198-1-ND",1,"U4"
"IC","STM32L151CBU6","ufqfpn48","smt","no","unknown","STM32L151CBU6","mouser","511-STM32L151CBU6A",1,"U7"
"IC","TC2185-3.3","SOT23-5","smt","no","unknown","TC2185-3.3VCTTR","digikey","TC2185-3.3VCCT-ND",1,"U1"
"IC","W25Q64","SOIJ8","smt","no","unknown","MX25L6406EM2I-12G","digikey","1092-1124-ND ",1,"U5"
"INDUCTOR","15nH","0402","smt","no","unknown","LQG15HS15NJ02D","digikey","490-2625-1-ND",2,"L172 L193"
"INDUCTOR","22nH","0402","smt","no","unknown","LQG15HS22NJ02D","digikey","490-2627-1-ND",1,"L174"
"INDUCTOR","27nH","0402","smt","no","unknown","LQG15HS27NJ02D","digikey","490-2628-1-ND",2,"L192 L201"
